Year,LEA,LEA Name,School,School Name,Grade Span,Summary Group Title,Indicator Name,Measure Name,Subject Title,Measure Possible Points,Measure Earned Points,Measure Result,Create Date
2022,1,Allegany,401,South Penn Elementary,E,All Students,Academic Achievement,Average Performance Level,Mathematics,5,2.3623348,1.9,20230303
2022,1,Allegany,401,South Penn Elementary,E,All Students,Academic Achievement,Average Performance Level,English/Language Arts,5,2.66519824,2.1,20230303
2022,1,Allegany,401,South Penn Elementary,E,All Students,Academic Progress,Percent Proficient,Science,5,1.25,25,20230303
2022,1,Allegany,401,South Penn Elementary,E,All Students,Academic Progress,Student Growth,Mathematics,12.5,7.4975,56.5,20230303
2022,1,Allegany,401,South Penn Elementary,E,All Students,Academic Progress,Student Growth,English/Language Arts,12.5,5.5655,39.7,20230303
2022,1,Allegany,401,South Penn Elementary,E,All Students,Academic Progress,Credit for Well Rounded Curriculum,Not Applicable,5,5,100,20230303
2022,1,Allegany,401,South Penn Elementary,E,All Students,School Quality and Student Success,Students not Chronically Absent,Not Applicable,15,1,42.9,20230303
2022,1,Allegany,401,South Penn Elementary,E,All Students,School Quality and Student Success,School Survey - Student,Not Applicable,7,4.37774349,6.3,20230303
2022,1,Allegany,401,South Penn Elementary,E,All Students,School Quality and Student Success,School Survey - Educator,Not Applicable,3,2.11615217,7.1,20230303
2022,1,Allegany,401,South Penn Elementary,E,All Students,School Quality and Student Success,Access to Well Rounded Curriculum,Not Applicable,10,10,100,20230303
2022,1,Allegany,402,John Humbird Elementary,E,All Students,Academic Achievement,Percent Proficient,Mathematics,5,1.41414141,28.3,20230303
2022,1,Allegany,402,John Humbird Elementary,E,All Students,Academic Achievement,Percent Proficient,English/Language Arts,5,1.51515152,30.3,20230303
2022,1,Allegany,402,John Humbird Elementary,E,All Students,Academic Achievement,Average Performance Level,Mathematics,5,2.51262626,2,20230303
2022,1,Allegany,402,John Humbird Elementary,E,All Students,Academic Achievement,Average Performance Level,English/Language Arts,5,2.66414141,2.1,20230303
2022,1,Allegany,402,John Humbird Elementary,E,All Students,Academic Progress,Percent Proficient,Science,5,1.41025641,28.2,20230303
2022,1,Allegany,402,John Humbird Elementary,E,All Students,Academic Progress,Student Growth,Mathematics,12.5,9.878,77.2,20230303
2022,1,Allegany,402,John Humbird Elementary,E,All Students,Academic Progress,Student Growth,English/Language Arts,12.5,4.036,26.4,20230303
2022,1,Allegany,402,John Humbird Elementary,E,All Students,Academic Progress,Credit for Well Rounded Curriculum,Not Applicable,5,5,100,20230303
2022,1,Allegany,402,John Humbird Elementary,E,All Students,School Quality and Student Success,Students not Chronically Absent,Not Applicable,15,1,34.9,20230303
2022,1,Allegany,402,John Humbird Elementary,E,All Students,School Quality and Student Success,School Survey - Student,Not Applicable,7,5.82378497,8.3,20230303
2022,1,Allegany,402,John Humbird Elementary,E,All Students,School Quality and Student Success,School Survey - Educator,Not Applicable,3,2.51569716,8.4,20230303
2022,1,Allegany,402,John Humbird Elementary,E,All Students,School Quality and Student Success,Access to Well Rounded Curriculum,Not Applicable,10,10,100,20230303
2022,1,Allegany,405,Fort Hill High,H,All Students,Academic Achievement,Percent Proficient,Mathematics,7.5,1.18421053,15.8,20230303
2022,1,Allegany,405,Fort Hill High,H,All Students,Academic Achievement,Percent Proficient,English/Language Arts,7.5,3.28947368,43.9,20230303
2022,1,Allegany,405,Fort Hill High,H,All Students,Academic Achievement,Average Performance Level,Mathematics,7.5,3.72869318,2,20230303
2022,1,Allegany,405,Fort Hill High,H,All Students,Academic Achievement,Average Performance Level,English/Language Arts,7.5,4.6875,2.5,20230303
2022,1,Allegany,405,Fort Hill High,H,All Students,Graduation Rate,Four-year Adjusted Cohort Graduation Rate,Not Applicable,10,8.50649351,85.1,20230303
2022,1,Allegany,405,Fort Hill High,H,All Students,Graduation Rate,Five-year Adjusted Cohort Graduation Rate,Not Applicable,5,4.28571429,85.7,20230303
2022,1,Allegany,405,Fort Hill High,H,All Students,School Quality and Student Success,Students not Chronically Absent,Not Applicable,15,2,46.4,20230303
2022,1,Allegany,405,Fort Hill High,H,All Students,School Quality and Student Success,School Survey - Student,Not Applicable,7,1.97102477,2.8,20230303
2022,1,Allegany,405,Fort Hill High,H,All Students,School Quality and Student Success,School Survey - Educator,Not Applicable,3,2.33544529,7.8,20230303
2022,1,Allegany,405,Fort Hill High,H,All Students,School Quality and Student Success,Access to Well Rounded Curriculum,Not Applicable,10,4.82758621,48.3,20230303
2022,1,Allegany,405,Fort Hill High,H,All Students,Readiness for Post-Secondary Success,Credit for Well Rounded Curriculum,Not Applicable,5,1,57.8,20230303
2022,1,Allegany,405,Fort Hill High,H,All Students,Readiness for Post-Secondary Success,On Track in Ninth Grade for Graduation,Not Applicable,5,4.05759162,81.2,20230303
2022,1,Allegany,406,Washington Middle,M,All Students,Academic Achievement,Percent Proficient,Mathematics,5,0.89090909,17.8,20230303
2022,1,Allegany,406,Washington Middle,M,All Students,Academic Achievement,Percent Proficient,English/Language Arts,5,1.75724638,35.1,20230303
2022,1,Allegany,406,Washington Middle,M,All Students,Academic Achievement,Average Performance Level,Mathematics,5,2.17727273,1.7,20230303
2022,1,Allegany,406,Washington Middle,M,All Students,Academic Achievement,Average Performance Level,English/Language Arts,5,2.72192029,2.2,20230303
2022,1,Allegany,406,Washington Middle,M,All Students,Academic Progress,Percent Proficient,Science,3.5,0.95287958,27.2,20230303
2022,1,Allegany,406,Washington Middle,M,All Students,Academic Progress,Student Growth,Mathematics,12.5,8.843,68.2,20230303
2022,1,Allegany,406,Washington Middle,M,All Students,Academic Progress,Student Growth,English/Language Arts,12.5,4.9905,34.7,20230303
2022,1,Allegany,406,Washington Middle,M,All Students,Academic Progress,Credit for Well Rounded Curriculum,Not Applicable,3,1.84126984,61.4,20230303
2022,1,Allegany,406,Washington Middle,M,All Students,School Quality and Student Success,Students not Chronically Absent,Not Applicable,15,3.5,51.8,20230303
2022,1,Allegany,406,Washington Middle,M,All Students,School Quality and Student Success,School Survey - Student,Not Applicable,7,1.98373138,2.8,20230303
2022,1,Allegany,406,Washington Middle,M,All Students,School Quality and Student Success,School Survey - Educator,Not Applicable,3,1.58802791,5.3,20230303
2022,1,Allegany,406,Washington Middle,M,All Students,School Quality and Student Success,Access to Well Rounded Curriculum,Not Applicable,10,9.68253968,96.8,20230303
2022,1,Allegany,502,Northeast Elementary,E,All Students,Academic Achievement,Percent Proficient,Mathematics,5,2.48,49.6,20230303
2022,1,Allegany,502,Northeast Elementary,E,All Students,Academic Achievement,Percent Proficient,English/Language Arts,5,2.5,50,20230303
2022,1,Allegany,502,Northeast Elementary,E,All Students,Academic Achievement,Average Performance Level,Mathematics,5,3.03,2.4,20230303
2022,1,Allegany,502,Northeast Elementary,E,All Students,Academic Achievement,Average Performance Level,English/Language Arts,5,3.125,2.5,20230303
2022,1,Allegany,502,Northeast Elementary,E,All Students,Academic Progress,Percent Proficient,Science,5,1.41304348,28.3,20230303
2022,1,Allegany,502,Northeast Elementary,E,All Students,Academic Progress,Student Growth,Mathematics,12.5,12.339,98.6,20230303
2022,1,Allegany,502,Northeast Elementary,E,All Students,Academic Progress,Student Growth,English/Language Arts,12.5,11.879,94.6,20230303
2022,1,Allegany,502,Northeast Elementary,E,All Students,Academic Progress,Credit for Well Rounded Curriculum,Not Applicable,5,5,100,20230303
2022,1,Allegany,502,Northeast Elementary,E,All Students,School Quality and Student Success,Students not Chronically Absent,Not Applicable,15,9,71,20230303
2022,1,Allegany,502,Northeast Elementary,E,All Students,School Quality and Student Success,School Survey - Student,Not Applicable,7,4.58532368,6.6,20230303
2022,1,Allegany,502,Northeast Elementary,E,All Students,School Quality and Student Success,School Survey - Educator,Not Applicable,3,2.61144387,8.7,20230303
2022,1,Allegany,502,Northeast Elementary,E,All Students,School Quality and Student Success,Access to Well Rounded Curriculum,Not Applicable,10,10,100,20230303
2022,1,Allegany,504,Braddock Middle,M,All Students,Academic Achievement,Percent Proficient,Mathematics,5,0.85840708,17.2,20230303
2022,1,Allegany,504,Braddock Middle,M,All Students,Academic Achievement,Percent Proficient,English/Language Arts,5,1.7693662,35.4,20230303
2022,1,Allegany,504,Braddock Middle,M,All Students,Academic Achievement,Average Performance Level,Mathematics,5,2.30530973,1.8,20230303
2022,1,Allegany,504,Braddock Middle,M,All Students,Academic Achievement,Average Performance Level,English/Language Arts,5,2.78169014,2.2,20230303
2022,1,Allegany,504,Braddock Middle,M,All Students,Academic Progress,Percent Proficient,Science,3.5,0.95287958,27.2,20230303
2022,1,Allegany,504,Braddock Middle,M,All Students,Academic Progress,Student Growth,Mathematics,12.5,9.5675,74.5,20230303
2022,1,Allegany,504,Braddock Middle,M,All Students,Academic Progress,Student Growth,English/Language Arts,12.5,5.9565,43.1,20230303
2022,1,Allegany,504,Braddock Middle,M,All Students,Academic Progress,Credit for Well Rounded Curriculum,Not Applicable,3,2.51813472,83.9,20230303
2022,1,Allegany,504,Braddock Middle,M,All Students,School Quality and Student Success,Students not Chronically Absent,Not Applicable,15,5,58,20230303
2022,1,Allegany,504,Braddock Middle,M,All Students,School Quality and Student Success,School Survey - Student,Not Applicable,7,2.44831592,3.5,20230303
2022,1,Allegany,504,Braddock Middle,M,All Students,School Quality and Student Success,School Survey - Educator,Not Applicable,3,1.75296548,5.8,20230303
2022,1,Allegany,504,Braddock Middle,M,All Students,School Quality and Student Success,Access to Well Rounded Curriculum,Not Applicable,10,0.88082902,8.8,20230303
2022,1,Allegany,601,Center for Career & Technical Education,H,All Students,Academic Achievement,Percent Proficient,Mathematics,7.5,0.52631579,7,20230303
2022,1,Allegany,601,Center for Career & Technical Education,H,All Students,Academic Achievement,Percent Proficient,English/Language Arts,7.5,2.8125,37.5,20230303
2022,1,Allegany,601,Center for Career & Technical Education,H,All Students,Academic Achievement,Average Performance Level,Mathematics,7.5,3.84868421,2.1,20230303
2022,1,Allegany,601,Center for Career & Technical Education,H,All Students,Academic Achievement,Average Performance Level,English/Language Arts,7.5,4.53683036,2.4,20230303
2022,1,Allegany,601,Center for Career & Technical Education,H,All Students,Graduation Rate,Four-year Adjusted Cohort Graduation Rate,Not Applicable,10,9.09090909,90.9,20230303
2022,1,Allegany,601,Center for Career & Technical Education,H,All Students,Graduation Rate,Five-year Adjusted Cohort Graduation Rate,Not Applicable,5,4.66942149,93.4,20230303
2022,1,Allegany,601,Center for Career & Technical Education,H,All Students,School Quality and Student Success,Students not Chronically Absent,Not Applicable,15,5,58.1,20230303
2022,1,Allegany,601,Center for Career & Technical Education,H,All Students,School Quality and Student Success,School Survey - Student,Not Applicable,7,3.27265676,4.7,20230303
2022,1,Allegany,601,Center for Career & Technical Education,H,All Students,School Quality and Student Success,School Survey - Educator,Not Applicable,3,2.82920365,9.4,20230303
2022,1,Allegany,601,Center for Career & Technical Education,H,All Students,School Quality and Student Success,Access to Well Rounded Curriculum,Not Applicable,10,10,100,20230303
2022,1,Allegany,601,Center for Career & Technical Education,H,All Students,Readiness for Post-Secondary Success,Credit for Well Rounded Curriculum,Not Applicable,5,5,99.1,20230303
2022,1,Allegany,603,West Side Elementary,E,All Students,Academic Achievement,Percent Proficient,Mathematics,5,1.25,25,20230303
2022,1,Allegany,603,West Side Elementary,E,All Students,Academic Achievement,Percent Proficient,English/Language Arts,5,2.44897959,49,20230303
2022,1,Allegany,603,West Side Elementary,E,All Students,Academic Achievement,Average Performance Level,Mathematics,5,2.45777027,2,20230303
2022,1,Allegany,603,West Side Elementary,E,All Students,Academic Achievement,Average Performance Level,English/Language Arts,5,2.97619048,2.4,20230303
2022,1,Allegany,603,West Side Elementary,E,All Students,Academic Progress,Percent Proficient,Science,5,1.66666667,33.3,20230303
2022,1,Allegany,603,West Side Elementary,E,All Students,Academic Progress,Student Growth,Mathematics,12.5,6.037,43.8,20230303
2022,1,Allegany,603,West Side Elementary,E,All Students,Academic Progress,Student Growth,English/Language Arts,12.5,6.336,46.4,20230303
2022,1,Allegany,603,West Side Elementary,E,All Students,Academic Progress,Credit for Well Rounded Curriculum,Not Applicable,5,5,100,20230303
2022,1,Allegany,603,West Side Elementary,E,All Students,School Quality and Student Success,Students not Chronically Absent,Not Applicable,15,5.5,59.2,20230303
2022,1,Allegany,603,West Side Elementary,E,All Students,School Quality and Student Success,School Survey - Student,Not Applicable,7,4.70426654,6.7,20230303
2022,1,Allegany,603,West Side Elementary,E,All Students,School Quality and Student Success,School Survey - Educator,Not Applicable,3,2.25386318,7.5,20230303
2022,1,Allegany,603,West Side Elementary,E,All Students,School Quality and Student Success,Access to Well Rounded Curriculum,Not Applicable,10,10,100,20230303
2022,1,Allegany,606,Allegany High,H,All Students,Academic Achievement,Percent Proficient,Mathematics,7.5,2.67857143,35.7,20230303
2022,1,Allegany,606,Allegany High,H,All Students,Academic Achievement,Percent Proficient,English/Language Arts,7.5,4.53781513,60.5,20230303
2022,1,Allegany,606,Allegany High,H,All Students,Academic Achievement,Average Performance Level,Mathematics,7.5,3.984375,2.1,20230303
2022,1,Allegany,606,Allegany High,H,All Students,Academic Achievement,Average Performance Level,English/Language Arts,7.5,5.21533613,2.8,20230303
2022,1,Allegany,606,Allegany High,H,All Students,Graduation Rate,Four-year Adjusted Cohort Graduation Rate,Not Applicable,10,9.10714286,91.1,20230303
2022,1,Allegany,606,Allegany High,H,All Students,Graduation Rate,Five-year Adjusted Cohort Graduation Rate,Not Applicable,5,4.67455621,93.5,20230303
2022,1,Allegany,606,Allegany High,H,All Students,School Quality and Student Success,Students not Chronically Absent,Not Applicable,15,2.5,49.2,20230303
2022,1,Allegany,606,Allegany High,H,All Students,School Quality and Student Success,School Survey - Student,Not Applicable,7,2.34847424,3.4,20230303
2022,1,Allegany,606,Allegany High,H,All Students,School Quality and Student Success,School Survey - Educator,Not Applicable,3,2.25244678,7.5,20230303
2022,1,Allegany,606,Allegany High,H,All Students,School Quality and Student Success,Access to Well Rounded Curriculum,Not Applicable,10,6.39784946,64,20230303
2022,1,Allegany,606,Allegany High,H,All Students,Readiness for Post-Secondary Success,Credit for Well Rounded Curriculum,Not Applicable,5,2,69.9,20230303
2022,1,Allegany,606,Allegany High,H,All Students,Readiness for Post-Secondary Success,On Track in Ninth Grade for Graduation,Not Applicable,5,4.06077348,81.2,20230303
2022,1,Allegany,701,Cresaptown Elementary,E,All Students,Academic Achievement,Percent Proficient,Mathematics,5,2.15384615,43.1,20230303
2022,1,Allegany,701,Cresaptown Elementary,E,All Students,Academic Achievement,Percent Proficient,English/Language Arts,5,3.13953488,62.8,20230303
2022,1,Allegany,701,Cresaptown Elementary,E,All Students,Academic Achievement,Average Performance Level,Mathematics,5,2.89423077,2.3,20230303
2022,1,Allegany,701,Cresaptown Elementary,E,All Students,Academic Achievement,Average Performance Level,English/Language Arts,5,3.25581395,2.6,20230303
2022,1,Allegany,701,Cresaptown Elementary,E,All Students,Academic Progress,Percent Proficient,Science,5,1.22222222,24.4,20230303
2022,1,Allegany,701,Cresaptown Elementary,E,All Students,Academic Progress,Student Growth,Mathematics,12.5,11.6835,92.9,20230303
2022,1,Allegany,701,Cresaptown Elementary,E,All Students,Academic Progress,Student Growth,English/Language Arts,12.5,12.1665,97.1,20230303
2022,1,Allegany,701,Cresaptown Elementary,E,All Students,Academic Progress,Credit for Well Rounded Curriculum,Not Applicable,5,5,100,20230303
2022,1,Allegany,701,Cresaptown Elementary,E,All Students,School Quality and Student Success,Students not Chronically Absent,Not Applicable,15,6,61.1,20230303
2022,1,Allegany,701,Cresaptown Elementary,E,All Students,School Quality and Student Success,School Survey - Student,Not Applicable,7,4.87314965,7,20230303
2022,1,Allegany,701,Cresaptown Elementary,E,All Students,School Quality and Student Success,School Survey - Educator,Not Applicable,3,2.78461772,9.3,20230303
2022,1,Allegany,701,Cresaptown Elementary,E,All Students,School Quality and Student Success,Access to Well Rounded Curriculum,Not Applicable,10,10,100,20230303
2022,1,Allegany,702,Bel Air Elementary,E,All Students,Academic Achievement,Percent Proficient,Mathematics,5,2.14285714,42.9,20230303
2022,1,Allegany,702,Bel Air Elementary,E,All Students,Academic Achievement,Percent Proficient,English/Language Arts,5,2.96703297,59.3,20230303
2022,1,Allegany,702,Bel Air Elementary,E,All Students,Academic Achievement,Average Performance Level,Mathematics,5,2.87087912,2.3,20230303
2022,1,Allegany,702,Bel Air Elementary,E,All Students,Academic Achievement,Average Performance Level,English/Language Arts,5,3.17307692,2.5,20230303
2022,1,Allegany,702,Bel Air Elementary,E,All Students,Academic Progress,Percent Proficient,Science,5,1.89655172,37.9,20230303
2022,1,Allegany,702,Bel Air Elementary,E,All Students,Academic Progress,Student Growth,Mathematics,12.5,11.672,92.8,20230303
2022,1,Allegany,702,Bel Air Elementary,E,All Students,Academic Progress,Student Growth,English/Language Arts,12.5,12.109,96.6,20230303
2022,1,Allegany,702,Bel Air Elementary,E,All Students,Academic Progress,Credit for Well Rounded Curriculum,Not Applicable,5,5,100,20230303
2022,1,Allegany,702,Bel Air Elementary,E,All Students,School Quality and Student Success,Students not Chronically Absent,Not Applicable,15,10.5,77.1,20230303
2022,1,Allegany,702,Bel Air Elementary,E,All Students,School Quality and Student Success,School Survey - Student,Not Applicable,7,3.57266643,5.1,20230303
2022,1,Allegany,702,Bel Air Elementary,E,All Students,School Quality and Student Success,School Survey - Educator,Not Applicable,3,2.61943737,8.7,20230303
2022,1,Allegany,702,Bel Air Elementary,E,All Students,School Quality and Student Success,Access to Well Rounded Curriculum,Not Applicable,10,10,100,20230303
2022,1,Allegany,801,Westernport Elementary,E,All Students,Academic Achievement,Percent Proficient,Mathematics,5,1.20535714,24.1,20230303
2022,1,Allegany,801,Westernport Elementary,E,All Students,Academic Achievement,Percent Proficient,English/Language Arts,5,2.30434783,46.1,20230303
2022,1,Allegany,801,Westernport Elementary,E,All Students,Academic Achievement,Average Performance Level,Mathematics,5,2.61160714,2.1,20230303
2022,1,Allegany,801,Westernport Elementary,E,All Students,Academic Achievement,Average Performance Level,English/Language Arts,5,2.9673913,2.4,20230303
2022,1,Allegany,801,Westernport Elementary,E,All Students,Academic Progress,Percent Proficient,Science,5,1.41025641,28.2,20230303
2022,1,Allegany,801,Westernport Elementary,E,All Students,Academic Progress,Student Growth,Mathematics,12.5,11.051,87.4,20230303
2022,1,Allegany,801,Westernport Elementary,E,All Students,Academic Progress,Student Growth,English/Language Arts,12.5,10.3725,81.5,20230303
2022,1,Allegany,801,Westernport Elementary,E,All Students,Academic Progress,Credit for Well Rounded Curriculum,Not Applicable,5,5,100,20230303
2022,1,Allegany,801,Westernport Elementary,E,All Students,School Quality and Student Success,Students not Chronically Absent,Not Applicable,15,5.5,58.7,20230303
2022,1,Allegany,801,Westernport Elementary,E,All Students,School Quality and Student Success,School Survey - Student,Not Applicable,7,6.10177056,8.7,20230303
2022,1,Allegany,801,Westernport Elementary,E,All Students,School Quality and Student Success,School Survey - Educator,Not Applicable,3,2.09814468,7,20230303
2022,1,Allegany,801,Westernport Elementary,E,All Students,School Quality and Student Success,Access to Well Rounded Curriculum,Not Applicable,10,10,100,20230303
2022,1,Allegany,802,Westmar Middle,M,All Students,Academic Achievement,Percent Proficient,Mathematics,5,0.29545455,5.9,20230303
2022,1,Allegany,802,Westmar Middle,M,All Students,Academic Achievement,Percent Proficient,English/Language Arts,5,1.84931507,37,20230303
2022,1,Allegany,802,Westmar Middle,M,All Students,Academic Achievement,Average Performance Level,Mathematics,5,2.06818182,1.7,20230303
2022,1,Allegany,802,Westmar Middle,M,All Students,Academic Achievement,Average Performance Level,English/Language Arts,5,2.84246575,2.3,20230303
2022,1,Allegany,802,Westmar Middle,M,All Students,Academic Progress,Percent Proficient,Science,3.5,0.93661972,26.8,20230303
2022,1,Allegany,802,Westmar Middle,M,All Students,Academic Progress,Student Growth,Mathematics,12.5,7.647,57.8,20230303
2022,1,Allegany,802,Westmar Middle,M,All Students,Academic Progress,Student Growth,English/Language Arts,12.5,7.854,59.6,20230303
2022,1,Allegany,802,Westmar Middle,M,All Students,Academic Progress,Credit for Well Rounded Curriculum,Not Applicable,3,2.61971831,87.3,20230303
2022,1,Allegany,802,Westmar Middle,M,All Students,School Quality and Student Success,Students not Chronically Absent,Not Applicable,15,2.5,47.9,20230303
2022,1,Allegany,802,Westmar Middle,M,All Students,School Quality and Student Success,School Survey - Student,Not Applicable,7,3.11632149,4.5,20230303
2022,1,Allegany,802,Westmar Middle,M,All Students,School Quality and Student Success,School Survey - Educator,Not Applicable,3,1.65829373,5.5,20230303
2022,1,Allegany,802,Westmar Middle,M,All Students,School Quality and Student Success,Access to Well Rounded Curriculum,Not Applicable,10,0,0,20230303
2022,1,Allegany,1001,George's Creek Elementary,E,All Students,Academic Achievement,Percent Proficient,Mathematics,5,0.95833333,19.2,20230303
2022,1,Allegany,1001,George's Creek Elementary,E,All Students,Academic Achievement,Percent Proficient,English/Language Arts,5,1.5,30,20230303
2022,1,Allegany,1001,George's Creek Elementary,E,All Students,Academic Achievement,Average Performance Level,Mathematics,5,2.45833333,2,20230303
2022,1,Allegany,1001,George's Creek Elementary,E,All Students,Academic Achievement,Average Performance Level,English/Language Arts,5,2.71875,2.2,20230303
2022,1,Allegany,1001,George's Creek Elementary,E,All Students,Academic Progress,Percent Proficient,Science,5,1,20,20230303
2022,1,Allegany,1001,George's Creek Elementary,E,All Students,Academic Progress,Student Growth,Mathematics,12.5,8.36,64,20230303
2022,1,Allegany,1001,George's Creek Elementary,E,All Students,Academic Progress,Student Growth,English/Language Arts,12.5,6.1175,44.5,20230303
2022,1,Allegany,1001,George's Creek Elementary,E,All Students,Academic Progress,Credit for Well Rounded Curriculum,Not Applicable,5,5,100,20230303
2022,1,Allegany,1001,George's Creek Elementary,E,All Students,School Quality and Student Success,Students not Chronically Absent,Not Applicable,15,4.5,56.2,20230303
2022,1,Allegany,1001,George's Creek Elementary,E,All Students,School Quality and Student Success,School Survey - Student,Not Applicable,7,4.16679502,6,20230303
2022,1,Allegany,1001,George's Creek Elementary,E,All Students,School Quality and Student Success,School Survey - Educator,Not Applicable,3,1.98044699,6.6,20230303
2022,1,Allegany,1001,George's Creek Elementary,E,All Students,School Quality and Student Success,Access to Well Rounded Curriculum,Not Applicable,10,10,100,20230303
2022,1,Allegany,1101,Frost Elementary,E,All Students,Academic Achievement,Percent Proficient,Mathematics,5,3.26923077,65.4,20230303
2022,1,Allegany,1101,Frost Elementary,E,All Students,Academic Achievement,Percent Proficient,English/Language Arts,5,3.73417722,74.7,20230303
2022,1,Allegany,1101,Frost Elementary,E,All Students,Academic Achievement,Average Performance Level,Mathematics,5,3.31730769,2.7,20230303
2022,1,Allegany,1101,Frost Elementary,E,All Students,Academic Achievement,Average Performance Level,English/Language Arts,5,3.60759494,2.9,20230303
2022,1,Allegany,1101,Frost Elementary,E,All Students,Academic Progress,Percent Proficient,Science,5,3,60,20230303
2022,1,Allegany,1101,Frost Elementary,E,All Students,Academic Progress,Student Growth,Mathematics,12.5,12.086,96.4,20230303
2022,1,Allegany,1101,Frost Elementary,E,All Students,Academic Progress,Student Growth,English/Language Arts,12.5,12.385,99,20230303
2022,1,Allegany,1101,Frost Elementary,E,All Students,Academic Progress,Credit for Well Rounded Curriculum,Not Applicable,5,5,100,20230303
2022,1,Allegany,1101,Frost Elementary,E,All Students,School Quality and Student Success,Students not Chronically Absent,Not Applicable,15,8.5,69.5,20230303
2022,1,Allegany,1101,Frost Elementary,E,All Students,School Quality and Student Success,School Survey - Student,Not Applicable,7,5.21992691,7.5,20230303
2022,1,Allegany,1101,Frost Elementary,E,All Students,School Quality and Student Success,School Survey - Educator,Not Applicable,3,2.73172874,9.1,20230303
2022,1,Allegany,1101,Frost Elementary,E,All Students,School Quality and Student Success,Access to Well Rounded Curriculum,Not Applicable,10,10,100,20230303
2022,1,Allegany,1301,Mount Savage Middle,M,All Students,Academic Achievement,Percent Proficient,Mathematics,5,1.37305699,27.5,20230303
2022,1,Allegany,1301,Mount Savage Middle,M,All Students,Academic Achievement,Percent Proficient,English/Language Arts,5,2.97157623,59.4,20230303
2022,1,Allegany,1301,Mount Savage Middle,M,All Students,Academic Achievement,Average Performance Level,Mathematics,5,2.63277202,2.1,20230303
2022,1,Allegany,1301,Mount Savage Middle,M,All Students,Academic Achievement,Average Performance Level,English/Language Arts,5,3.21059432,2.6,20230303
2022,1,Allegany,1301,Mount Savage Middle,M,All Students,Academic Progress,Percent Proficient,Science,3.5,1.53461538,43.8,20230303
2022,1,Allegany,1301,Mount Savage Middle,M,All Students,Academic Progress,Student Growth,Mathematics,12.5,11.7065,93.1,20230303
2022,1,Allegany,1301,Mount Savage Middle,M,All Students,Academic Progress,Student Growth,English/Language Arts,12.5,11.7295,93.3,20230303
2022,1,Allegany,1301,Mount Savage Middle,M,All Students,Academic Progress,Credit for Well Rounded Curriculum,Not Applicable,3,2.81395349,93.8,20230303
2022,1,Allegany,1301,Mount Savage Middle,M,All Students,School Quality and Student Success,Students not Chronically Absent,Not Applicable,15,6.5,62.9,20230303
2022,1,Allegany,1301,Mount Savage Middle,M,All Students,School Quality and Student Success,School Survey - Student,Not Applicable,7,3.84256279,5.5,20230303
2022,1,Allegany,1301,Mount Savage Middle,M,All Students,School Quality and Student Success,School Survey - Educator,Not Applicable,3,2.40678863,8,20230303
2022,1,Allegany,1301,Mount Savage Middle,M,All Students,School Quality and Student Success,Access to Well Rounded Curriculum,Not Applicable,10,10,100,20230303
2022,1,Allegany,1302,Mt. Savage Elementary,E,All Students,Academic Achievement,Percent Proficient,Mathematics,5,1.10465116,22.1,20230303
2022,1,Allegany,1302,Mt. Savage Elementary,E,All Students,Academic Achievement,Percent Proficient,English/Language Arts,5,1.91860465,38.4,20230303
2022,1,Allegany,1302,Mt. Savage Elementary,E,All Students,Academic Achievement,Average Performance Level,Mathematics,5,2.47093023,2,20230303
